Country,R&D_Expenditure,Patent_Applications
Ethiopia,0.007958077086319189,0.13412881566661167
Fiji,0.0002344965675731784,0.41800975978844335
Finland,0.013360853530128905,0.5369098483910979
France,0.07329284774567259,0.4823856252230695
Gabon,0.00010355448517735851,0.5186387228244882
Gambia,8.502169193367182e-05,0.3858934768450264
Georgia,0.0006635540918282774,0.6888208291782388
Germany,0.12678640942437702,0.517741066331709
Ghana,0.0034186996506779836,0.486693475129208
Greece,0.01680111173621281,0.42814752662862066
Grenada,5.643268915079382e-05,0.27295308677857505
Guatemala,0.00013276643899363776,0.4620674000839793
Guinea,5.0225427067974397e-05,0.38868390017152066
Guinea-Bissau,1.4172136009878049e-05,0.5216620826838501
Guyana,2.9857153100873375e-05,0.4133434212572542
Haiti,3.952401824418894e-05,0.1779801773105411
Honduras,0.000174815633748221,0.24530937513045625
Hungary,0.009788885676983024,0.40039118402274276
Iceland,0.0008494048581681775,0.5027293886264885
India,0.2307014052640653,0.27063173787830824
Indonesia,0.03553609708674057,0.4605069477736726
Iran,0.06778796295301305,0.7354721091898594
Iraq,0.014912524437201008,0.36784036786378294
Ireland,0.010292307980850398,0.45150579307121497
Israel,0.017148317944329226,0.6673990399199711
Italy,0.10076634546198973,0.5606813669568602
Jamaica,0.00018470498140346555,0.4122876569148958
Japan,0.11538046523006595,0.7522193544558125
Jordan,0.00583718467247671,0.19811978776572026
Kazakhstan,0.003947640698663613,0.5465424372195739
Kenya,0.0022305095474699035,0.4980529371222341
Kiribati,0.0,0.09422667765912784
Kuwait,0.00148232310810383,0.8269005639550735
Kyrgyzstan,0.0002611944690046598,0.5463278812078884
Laos,9.110658863493031e-05,0.18363666931249362
Latvia,0.0018782084898303136,0.47267606072097
Lebanon,0.0023239855748568776,0.2486113423809193
Lesotho,5.109310886449754e-05,0.19784176277277205
Liberia,2.6564411924324002e-05,0.0
Libya,0.00045155050621112217,0.9579128461470028
Lithuania,0.0034825076350992238,0.5948600056878391
Luxembourg,0.0012999319448244262,0.583431202503734
Madagascar,0.00017201235409791544,0.21262556758274842
Malawi,0.0004001347977043276,0.15687219826856047
Malaysia,0.029483738452851717,0.6068091765769509
Maldives,3.764404101838878e-05,0.5804745678665921
Mali,0.0001291066016724055,0.45827050782321965
Malta,0.0006580365255324381,0.5530359515585463
Mauritania,2.718736295772523e-05,0.45063875544344123
Mauritius,0.0002634526665007392,0.7180441188680473
Mexico,0.02338855193541653,0.3795036128576873
Moldova,0.00031362247294073134,0.529887500896717
Mongolia,0.00028924951375890813,0.6123373734612687
Montenegro,0.00032582563872003765,0.9498167972675908
Morocco,0.009392221606464789,0.5855607763290102
Mozambique,0.00021390581109414833,0.056780887179828515
Myanmar,0.00017949889062432667,0.41502776705011735
Namibia,0.0002422167107371151,0.4510634055186564
Nepal,0.0018879754721039972,0.5288454544533596
Netherlands,0.03816591824662066,0.47805046036682264
New Zealand,0.010247088410300826,0.4593390033248951
Nicaragua,4.385130310120822e-05,0.3618797132987823
Niger,7.957087039141104e-05,0.13613259714522247
Nigeria,0.010463341411895826,0.3872509884001646
North Macedonia,0.0005897343943702313,0.36589492553964365
Norway,0.01564821848352227,0.4371040186103672
Oman,0.0017644198091042206,0.5723545351150279
Pakistan,0.025185743418527896,0.2767203402618357
Palau,4.916863513631159e-06,0.5604371267111286
Panama,0.00041614241443761995,0.6900405142647422
Papua New Guinea,9.043914109914327e-05,0.09200010976203982
Paraguay,0.00022988005545065138,0.531487967718605
Peru,0.005098108891974129,0.5000089367849054
Philippines,0.004404553033412224,0.6220565547948509
Poland,0.041566541193204416,0.5549893829262985
Portugal,0.02182634648140459,0.5139951995995784
Qatar,0.0029452346170418535,0.7888339923687765
Republic of the Congo,9.829277377023738e-05,0.36009796133170235
Romania,0.012979251525668265,0.4782826396601352
Russia,0.09372042442632829,0.7603215233386581
Rwanda,0.0003903566913050475,0.2662605557485923
Saint Kitts and Nevis,4.098127869732396e-05,0.4838360194716257
Saint Lucia,2.959017408655857e-06,0.3536926783726687
Saint Vincent and the Grenadines,7.041571502553221e-06,0.38046579935406377
Samoa,1.576288597017048e-05,0.15838729835994303
Sao Tome and Principe,1.968970230571754e-06,0.30461540272380616
Saudi Arabia,0.02872612987910545,0.5574039177484145
Senegal,0.0004993286256478774,0.49117949751574885
Serbia,0.005981931794737725,0.5094006796412933
Seychelles,2.0257032711136516e-05,0.8851812668503176
Sierra Leone,9.426584030432227e-05,0.3651643264590737
Singapore,0.014125759530266443,0.6909965685620257
Slovakia,0.005994079339889049,0.5548841504650817
Slovenia,0.0045293657226043995,0.5230554722047706
Solomon Islands,1.004508541359488e-05,0.19476735443476828
South Africa,0.018520667946786546,0.7515137407881741
Spain,0.07464030195504506,0.511500839200066
Sri Lanka,0.00275973982272104,0.616715937678822
Sudan,0.0005618684597511227,0.2335903694770053
Suriname,1.2570261923989162e-05,0.6566766209474147
Sweden,0.02486433405766965,0.5168874106679653
Switzerland,0.026971488176400514,0.4863423000191306
Syria,0.0006477244611045283,0.26524836826981407
Tajikistan,0.00012029629420001664,0.4821759724206569
Tanzania,0.001300832998997739,0.33300294934579067
Thailand,0.020566839608997665,0.8009674524156352
Timor-Leste,1.324883358537265e-05,0.43564755646710207
Togo,0.00014762827079049576,0.23478381454987313
Tonga,2.8922726550771527e-06,0.15992001131120764
Trinidad and Tobago,0.00028902703124697915,0.5473502466293337
Tunisia,0.006371899141646896,0.5400959692983021
Turkmenistan,2.212588581134022e-05,0.3702860199098795
Uganda,0.0013815830267023736,0.21152556420796015
Ukraine,0.01468777260365032,0.5720702443250859
United Arab Emirates,0.007119229023342043,1.0
United Kingdom,0.11745063163118862,0.4933163743233834
United States of America,0.5087432178709167,0.43426363687540803
Uruguay,0.0011742960703381134,0.5914763206480483
Uzbekistan,0.002431033035471522,0.3949140414931571
Vanuatu,1.4094267130702894e-05,0.25705524565876303
Venezuela,0.0005675083914285232,0.17511931828800575
Viet Nam,0.011711657413952721,0.5993663377270793
Yemen,0.00045955987664056657,0.07866632429497455
Zambia,0.00038071207441292483,0.3729302620760949
Zimbabwe,0.0006240856942120708,0.3093026719993475
