Country,Secure_Internet_Servers_alt,Telecommunication_Infrastructure_Index
Georgia,0.8043031679100445,0.90713
Germany,0.9297221321223919,0.92359
Ghana,0.6745594118283059,0.72814
Greece,0.8378203048978269,0.86568
Grenada,0.7199697264569144,0.67674
Guatemala,0.5253540923343065,0.58427
Guinea,0.20531949399935132,0.4323
Guinea-Bissau,0.2701913720402206,0.49023
Guyana,0.8021407719753488,0.69418
Haiti,0.3437128338198724,0.20874
Honduras,0.5491404476159586,0.47992
Hungary,0.9080981727754354,0.82821
Iceland,0.9978376040653045,0.99829
India,0.5231916963996108,0.57004
Indonesia,0.6669910260568711,0.86448
Iran,0.7794356146610445,0.89869
Iraq,0.8021407719753488,0.68736
Ireland,0.9621580711428264,0.95987
Israel,0.8594442642447834,0.97633
Italy,0.8594442642447834,0.90167
Jamaica,0.8205211374202619,0.72963
Japan,0.8594442642447834,0.95091
Jordan,0.9189101524489136,0.64992
Kazakhstan,0.923234944318305,0.92353
Kenya,0.2972213212239161,0.59015
Kiribati,0.8702562439182616,0.35438
Kuwait,0.9967564060979568,0.99883
Kyrgyzstan,0.8756622337550006,0.88154
Laos,0.6064439398853931,0.53382
Latvia,0.9156665585468701,0.96597
Lebanon,0.8216023353876096,0.64246
Lesotho,0.43777705697913294,0.46427
Liberia,0.1728835549789167,0.12379
Libya,0.8756622337550006,0.9639
Lithuania,0.8756622337550006,0.96309
Luxembourg,0.9870256243918263,0.98876
Madagascar,0.1393664179911342,0.15178
Malawi,0.11341766677478649,0.18862
Malaysia,0.9751324467510003,0.98618
Maldives,0.8345767109957835,0.78856
Mali,0.29830251919126394,0.44323
Malta,0.9145853605795222,0.97466
Mauritania,0.32317007244026386,0.58239
Mauritius,0.7783544166936968,0.91586
Mexico,0.7967347821386097,0.83101
Moldova,0.7859228024651316,0.8118
Mongolia,0.8161963455508705,0.93741
Montenegro,0.8897178073305223,0.92291
Morocco,0.9026921829386962,0.88273
Mozambique,0.13287923018704728,0.06321
Myanmar,0.5513028435506542,0.66618
Namibia,0.6150935236241758,0.72879
Nepal,0.522110498432263,0.76529
Netherlands,0.9675640609795655,0.97151
New Zealand,0.9589144772407829,0.87281
Nicaragua,0.5480592496486107,0.58512
Niger,0.1696399610768732,0.15783
Nigeria,0.34263163585252465,0.48355
North Macedonia,0.8616066601794791,0.75459
Norway,0.989188020326522,0.96539
Oman,0.9491836955346524,0.96739
Pakistan,0.2150502757054817,0.47453
Palau,0.21072548383609044,0.49096
Panama,0.7621364471834794,0.8523
Papua New Guinea,0.1793707427830036,0.18513
Paraguay,0.7632176451508272,0.79468
Peru,0.7783544166936968,0.83638
Philippines,0.8248459292896531,0.75544
Poland,0.8529570764406965,0.96034
Portugal,0.8464698886366094,0.89791
Qatar,0.9967564060979568,0.99634
Republic of the Congo,0.3339820521137421,0.27758
Romania,0.8832306195264354,0.89224
Russia,0.9156665585468701,0.95118
Rwanda,0.28857173748513365,0.37235
Saint Kitts and Nevis,0.7448372797059143,0.86745
Saint Lucia,0.6767218077630015,0.6498
Saint Vincent and the Grenadines,0.740512487836523,0.67675
Samoa,0.546978051681263,0.46065
Sao Tome and Principe,0.5837387825710889,0.48394
Saudi Arabia,1.0000000000000002,0.98411
Senegal,0.5740080008649585,0.73285
Serbia,0.8421450967672183,0.92206
Seychelles,0.8637690561141748,0.89126
Sierra Leone,0.14152881392582986,0.25851
Singapore,0.9383717158611744,0.98806
Slovakia,0.8897178073305223,0.89851
Slovenia,0.8962049951346094,0.91072
Solomon Islands,0.3783111687750027,0.18109
South Africa,0.7372688939344796,0.89512
Spain,0.9502648935020004,0.96031
Sri Lanka,0.47237539193426326,0.79359
Sudan,0.20423829603200347,0.43922
Suriname,0.7664612390528708,0.87141
Sweden,0.9535084874040438,0.98679
Switzerland,0.9708076548816089,0.95757
Syria,0.29397772732187266,0.44256
Tajikistan,0.5329224781057412,0.58098
Tanzania,0.23343064115039466,0.37921
Thailand,0.8864742134284789,0.94101
Timor-Leste,0.28640934155043796,0.35506
Togo,0.3188452805708726,0.24736
Tonga,0.5513028435506542,0.47841
Trinidad and Tobago,0.8345767109957835,0.77454
Tunisia,0.7015893610120015,0.83566
Turkmenistan,0.1490971996972646,0.51512
Uganda,0.08422532165639532,0.2299
Ukraine,0.8097091577467836,0.84278
United Arab Emirates,1.0000000000000002,1.0
United Kingdom,0.9599956752081307,0.97467
United States of America,0.9253973402530005,0.96052
Uruguay,0.8907990052978703,0.94374
Uzbekistan,0.8810682235917398,0.87687
Vanuatu,0.412909503730133,0.61652
Venezuela,0.5848199805384368,0.53905
Viet Nam,0.7632176451508272,0.87797
Yemen,0.06800735214617798,0.29045
Zambia,0.2755973618769597,0.5088
Zimbabwe,0.3339820521137421,0.39471
