Country,Adult Literacy Rate,ICT Service Exports,R&D Expenditure,Journal Articles,Patent Applications,Mobile Subscriptions,Fixed Broadband Subscriptions,Secure Internet Servers (per million),Secure Internet Servers (alt),Internet Users,ICT Goods Imports,High-Tech Exports,Tertiary Education Enrollment
Bolivia,4.34356490070711,0.157000005245209,188.02,5.0,99.62307127,10.9975,326.60471004991,3999.0,70.2,94.0,NONE,0.03,8.16517022638076
Brazil,12.7458377115322,1.14525997638702,67030.59,4666.0,98.89102076,22.9115,5628.66295682819,1188440.0,84.2,94.6900024414062,60.3906211853027,0.27,11.1103644206652
Barbados,0.225770564803364,NONE,72.38,73.0,114.8585936,37.4843,1059.02187464581,299.0,80.0,99.5,65.0382232666016,1.1,18.4336134860133
Brunei Darussalam,10.0959941247275,0.277640014886856,414.38,2.0,117.7551548,20.212,8774.3954121264,4027.0,99.0,97.5899963378906,38.2732162475586,0.03,1.01925056768477
Bhutan,0.705040537032692,NONE,115.3,1.0,94.89274144,1.31882,1227.13429172733,965.0,88.4,72.0999984741211,15.0250902175903,15.87,0.0230326501174942
Botswana,4.66075249113271,0.560999989509583,392.69,3.0,165.3049695,3.41216,441.085635122996,1094.0,81.4,86.8231811523438,21.7908344268799,0.16,0.539469030954736
Central African Republic,NONE,NONE,19.82,NONE,33.55228751,0.0160846,2.5230857493982,13.0,7.51,37.4900016784668,2.72516989707947,0.26,1.87856696826495
Canada,13.3202567627962,1.70132994651794,69051.87,4710.0,91.23062536,43.1752,42549.8820245849,1706155.0,94.0,NONE,77.3137588500977,1.37,16.7571370158249
Central Europe and the Baltics,16.1266517834486,1.31222382328176,98889.51,NONE,124.683360007648,29.5807948378636,45552.4319486993,NONE,NONE,99.4873504638672,69.5324935913086,8.77102360092471,13.4115904922265
Switzerland,11.2054955956156,3.30644989013672,24247.97,1288.0,119.5610489,48.7898,163635.101477899,1454404.0,97.3,NONE,74.1526794433594,1.0490728917,29.2751803024228
Channel Islands,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Chile,6.00816006406058,0.360410004854202,9057.77,402.0,134.7453263,22.9954,12299.9658931976,241803.0,94.5,97.1600036621094,99.3372802734375,0.29,10.7195633423709
China,17.4960413801051,2.55518007278442,898949.09,1426644.0,124.8775379,44.7289,1508.37096213963,2127874.0,77.5,97.0,74.823600769043,22.64,26.5682136542881
Cote d'Ivoire,9.04993189850152,0.069750003516674,297.65,26.0,174.0251271,1.36337,63.4352162159023,1977.0,40.7,50.0006408691406,11.1203804016113,0.03,4.41310726011773
Cameroon,9.45307931673651,NONE,1506.03,NONE,82.77764316,2.18279,17.0586592662161,484.0,41.9,78.2300033569336,15.7919597625732,0.17,2.15123166966613
"Congo, Dem. Rep.",3.41580400885603,0.406379997730255,237.5,72.0,50.3424172,0.0322275,8.82883424668128,934.0,30.5,80.5400009155273,6.66692018508911,0.01,0.199611665225369
"Congo, Rep.",5.46432892689928,0.383390009403229,90.39,19.0,96.78757313,1.26798,18.5997313551845,115.0,38.4,80.6100006103516,10.3542900085449,0.09,4.32722654163177
Colombia,10.4188407364376,0.289400011301041,9683.4,432.0,155.7854178,17.037,1109.11166481961,58030.0,77.3,96.0,59.2901382446289,0.29,8.59989159781141
Comoros,11.6872752233131,NONE,3.74,NONE,100.2382961,0.387941,18.8149630697553,16.0,35.7,61.7099990844727,9.6282901763916,0.09,0.206883909574449
Cabo Verde,1.50384370732082,0.0662200003862381,22.01,1.0,99.2317289,7.23009,951.503931415137,497.0,73.5,91.0,20.2174491882324,0.07,1.15215005835922
Costa Rica,14.3989506651499,0.33788999915123,711.36,15.0,152.0251489,22.5231,1956.70376699752,9990.0,85.4,98.0400009155273,54.7189712524414,0.83,24.177789153066
Caribbean small states,2.76343654735196,NONE,266.94,NONE,109.129045044123,18.3844757261607,55737.9566132913,NONE,NONE,90.8384704589844,22.4792499542236,0.209841845994296,0.0106545314260703
Cuba,NONE,0.360119998455048,1237.5,21.0,67.78418241,2.97118,169.329553878332,1866.0,71.3,99.6731109619141,48.9434585571289,0.68,7.87558913182664
Curacao,3.54947670761026,NONE,NONE,NONE,88.26771323,32.9116,4808.5376905493,711.0,68.1,NONE,15.9008779525757,NONE,NONE
Cayman Islands,0.533670962926414,NONE,NONE,NONE,146.7652929,56.3604,26561.5159232181,1940.0,81.1,99.0,44.5445442199707,43.27,47.701413334623
Cyprus,30.2242370404501,0.745270013809204,1866.52,1.0,148.7380631,38.7322,557174.254410488,749386.0,91.2,99.3600006103516,98.3045806884766,1.66,18.5212981753698
Czechia,18.0280903986131,1.96420001983643,14425.23,541.0,128.4101866,37.9249,80152.0281309664,870775.0,86.0,NONE,70.8145904541016,16.1,22.4045215279558
Germany,10.9161462748692,3.13235998153687,113976.3,39822.0,125.2251369,45.3805,139985.026416907,11657953.0,93.5,NONE,77.3656997680664,4.77,17.8508979027451
Djibouti,9.38744959208374,NONE,13.16,3.0,46.32720375,1.47206,63.3161714706005,73.0,65.0,NONE,5.21012020111084,0.15,3.27550022198031
Dominica,1.9031986869152,NONE,5.17,NONE,85.85731647,20.8601,66516.3133363404,4424.0,83.8,NONE,6.94106006622314,7.77,2.88328233207454
Denmark,7.65476488731896,2.89051008224487,16126.02,1090.0,126.549332,44.4825,261262.408036924,1553715.0,99.8,NONE,84.5866088867188,3.71,17.1962013476568
Dominican Republic,0.451559934318555,NONE,109.82,7.0,90.39141331,11.1346,216.480684195454,2453.0,84.6,95.5,55.1665306091309,0.56,6.03092939982151
Algeria,2.21311390791552,0.478650003671646,7606.65,268.0,109.1653573,12.0087,100.294126063305,4630.0,76.9,81.4078369140625,55.5188903808594,0.03,0.960396672710236
East Asia & Pacific (excluding high income),13.9826239380492,2.5068914287991,991725.68,NONE,126.814867943594,31.1230823529594,1858.6107209909,NONE,NONE,96.6776275634766,60.4763793945312,23.2262995053781,28.2290045971965
Early-demographic dividend,26.6135132098604,0.824017123276972,541101.88,NONE,96.3653995383414,5.98967585553685,1548.93677716241,NONE,NONE,81.4959564208984,36.0276985168457,6.4815267439344,12.5276961387012
East Asia & Pacific,9.37710939975437,2.82114514493738,1294313.09653981,1769228.0,129.9,33.2,5202.04625592837,NONE,NONE,96.4304885864258,62.0906715393066,25.652699007526,33.1832842083818
Europe & Central Asia (excluding high income),10.5519750490835,0.811160102859077,84114.97,NONE,111.224360315342,22.3221706981471,6659.42055939387,NONE,NONE,98.9917221069336,83.7001571655273,0.95283713148605,9.31607791433056
Europe & Central Asia,15.6925962297376,1.97068323696008,913901.439008398,215964.0,128.1,32.5,45741.4427692195,NONE,NONE,98.6887130737305,81.2428283691406,4.46777470801226,20.1431229001666
Ecuador,2.30370535124889,0.438389986753464,3573.97,35.0,97.16544081,16.0679,475.303701323292,8546.0,77.2,94.0,59.8797798156738,0.04,7.27423385399254
"Egypt, Arab Rep.",4.31097506612381,1.03356003761292,24025.0,881.0,93.20626903,11.8663,53.3021246846793,6105.0,72.7,74.5,39.3823089599609,2.38,3.17962429152873
Euro area,17.9001336952452,2.27816395178731,485477.0,NONE,123.504922574754,40.8890630672494,75799.3857319548,NONE,NONE,NONE,81.8062133789062,4.29913937571997,19.9886392941379
Eritrea,13.5308915968361,NONE,34.32,NONE,49.74709362,0.165393,0.288152052074839,1.0,20.0,76.5705184936523,3.00972008705139,0.23,NONE
Spain,11.1760599080496,1.43532001972198,67099.71,1308.0,124.0994495,38.0836,28736.5679302373,1389353.0,95.4,99.0,94.5131072998047,1.37,9.56253561613111
Estonia,23.4551700340512,1.78205001354218,1842.31,25.0,155.0300061,37.7484,112224.017467886,153779.0,93.2,99.870002746582,71.4251937866211,7.28,16.581160524959
Ethiopia,2.12373982426622,0.274370014667511,7155.92,6.0,56.02453443,0.451577,17.4681050894878,2248.0,16.7,51.7711791992188,7.73872995376587,0.71,3.75062055802087
European Union,17.5907641539719,2.24283573964744,601005.69,NONE,123.687099666304,38.6802657254509,71820.2578041844,89898.0,NONE,NONE,79.7254409790039,4.87838650076861,19.1519955600918
Fragile and conflict affected situations,15.4184431639218,0.271266279572721,52774.92,NONE,78.5,2.4,391.691587865103,NONE,NONE,65.8525772094727,14.990909576416,0.260306433265585,NONE
Finland,29.7644235176774,2.96468997001648,12012.73,1557.0,128.6830329,35.3318,153868.49826224,859188.0,93.5,NONE,104.944221496582,2.6,9.71402259549133
Fiji,1.64316708221271,NONE,212.83,2.0,107.2344015,2.53377,229.40123032641,212.0,79.3,NONE,60.3241920471191,0.5,1.64679784443044
France,7.59054625989944,2.23311996459961,65888.42,13386.0,118.8472962,48.6192,52082.5872535037,3556589.0,86.8,NONE,71.4203109741211,3.65,23.6797082010726
Faroe Islands,4.41181410445902,0.852530002593994,NONE,NONE,111.9592346,34.5874,8351.38210785213,455.0,97.6,NONE,NONE,0.02,0.637987563649529
"Micronesia, Fed. Sts.",4.02987895140209,NONE,3.39,NONE,19.4464824,5.81819,159.815324513895,18.0,39.4,NONE,13.3721399307251,NONE,NONE
Gabon,0.768761811863683,0.579240024089813,95.12,NONE,125.387067,3.30446,43.0620064721793,107.0,71.9,85.6900024414062,14.7383832931519,0.02,1.77313570365975
United Kingdom,9.4887290749911,2.89710998535156,105583.93,11592.0,120.8191165,41.0407,47452.8310168252,3243401.0,96.3,NONE,80.1511001586914,3.39,28.8917146113567
Georgia,12.6452653937607,0.252829998731613,598.53,90.0,156.086567,28.9528,5251.80710018051,19513.0,81.9,100.0,80.2798004150391,1.26,3.73851456652379
Ghana,2.07287835171577,0.376549988985062,3075.26,12.0,119.6243981,0.660893,48.1533130456056,1627.0,69.9,80.379997253418,21.990140914917,0.02,2.11003762211445
Gibraltar,NONE,NONE,NONE,NONE,112.4322338,60.9748,8837.82589482987,340.0,94.4,NONE,NONE,NONE,NONE
Guinea,47.2973917907839,NONE,47.18,NONE,101.9442494,0.00627529,10.4821308131051,151.0,26.5,45.3300018310547,6.7185697555542,0.02,0.899971742078623
"Gambia, The",0.421716163164668,0.0693299993872643,78.46,NONE,101.4408792,0.215819,52.2639365864236,141.0,45.9,58.6699981689453,2.66229009628296,0.0,2.3423098344067
Guinea-Bissau,26.4008007199133,NONE,14.77,NONE,125.9324571,0.310448,6.50153087832431,14.0,32.5,53.9000015258789,2.52465009689331,NONE,5.80645161290323
Equatorial Guinea,NONE,NONE,2.99,NONE,53.34269106,0.100691,43.8418683347505,81.0,60.4,94.3705368041992,5.37322235107422,NONE,NONE
Greece,2.81200583443239,1.48596000671387,15105.34,394.0,109.0631741,43.7095,14229.661985464,148068.0,85.0,94.0,166.665649414062,2.82,15.011494857431
Grenada,0.704934758229431,NONE,52.76,NONE,81.06733007,29.7674,614.958874625259,72.0,74.1,98.4000015258789,96.8923263549805,1.79,3.00776134164197
Greenland,NONE,0.646080017089844,30.55,NONE,118.4236261,31.9843,4765.67308537765,271.0,69.5,NONE,NONE,0.02,1.70924920520931
Guatemala,14.0346557537108,0.0586300007998943,121.38,9.0,115.1820498,5.08083,109.187182804061,1979.0,56.1,83.0311737060547,27.2776298522949,0.26,5.77662450839393
Guam,NONE,0.256099998950958,NONE,NONE,59.75464013,1.83921,936.903174660373,156.0,80.5,99.5599975585938,NONE,NONE,NONE
Guyana,0.860901501492639,NONE,28.87,40.0,106.3926311,12.9356,101.651473401803,84.0,81.7,90.0299987792969,11.6349601745605,0.01,15.7138926801315
High income,13.3705950368809,2.93191517327814,1731763.69338267,870300.0,134.1,37.0,81504.918601523,NONE,93.4,NONE,79.3141784667969,10.3306655509085,23.4359958998671
"Hong Kong SAR, China",4.1191464271023,1.10338997840881,NONE,401.0,291.9103362,39.884,131226.894547578,988939.0,96.0,NONE,100.461082458496,62.47,72.3154885126867
Honduras,2.94271785315153,0.059969998896122,159.18,8.0,76.0806241,4.47165,138.188876481221,1471.0,58.3,89.0,22.1740608215332,0.33,3.30891556062124
Heavily indebted poor countries (HIPC),4.55609414355035,NONE,19426.27,NONE,76.7140221946963,0.684833455807485,33.7990365408248,NONE,NONE,65.9208297729492,9.22424030303955,0.121441613511598,2.79683598763078
Croatia,7.68779664982501,1.40322995185852,5711.14,77.0,111.1680153,28.4709,29421.5643448716,113558.0,83.2,99.4499969482422,80.7626724243164,1.6,11.0335908814715
Haiti,1.43871246787178,NONE,37.56,2.0,63.9349717,0.306791,7.38996810111676,86.0,39.3,68.0098571777344,1.04627001285553,NONE,NONE
Hungary,9.84614936463825,1.39472997188568,8801.72,433.0,104.0561504,36.7902,53717.7865400025,515271.0,91.5,99.0999984741211,58.0702514648438,10.33,17.8912645285025
IBRD only,19.4635992246333,1.94804726855619,1696518.88682578,NONE,113.0,20.1,3267.33726508993,NONE,NONE,90.0989685058594,51.9278106689453,15.2168781431975,20.4301712913325
IDA & IBRD total,18.8787615664148,1.92310045151496,1766789.83728882,NONE,106.0,15.2,2418.62744500514,NONE,NONE,85.3520431518555,38.9257316589355,15.0151342799867,19.818610604657
IDA total,8.94752110455547,NONE,70270.94,NONE,87.7,2.3,211.739134997813,NONE,NONE,69.515007019043,12.8580799102783,0.350315250937261,3.53643266531493
IDA blend,14.862539558843,0.230270273623277,38882.06,NONE,91.0,2.7,412.464510262379,NONE,NONE,67.8960494995117,12.3865203857422,0.120773172320586,2.30163376875969
Indonesia,8.25334916628967,0.280680000782013,31947.1,1397.0,114.9005566,4.81664,2722.38990575723,765509.0,69.2,96.0,45.1352272033691,2.92,9.08308687782522
IDA only,6.21454222808479,NONE,31388.88,NONE,86.0,2.1,111.766085167072,NONE,NONE,70.3004608154297,13.0960102081299,0.452659174744789,3.95980280702943
Isle of Man,NONE,NONE,NONE,NONE,NONE,NONE,21564.7834610586,1815.0,NONE,NONE,NONE,NONE,NONE
India,48.1688192762242,0.645579993724823,207390.38,26267.0,80.64857717,2.35232,966.082590066802,1389294.0,55.9,77.0,33.1165237426758,2.77,14.9343472986716
Not classified,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Ireland,57.2340304597094,0.962639987468719,9254.27,75.0,113.2768198,31.8399,150045.406586781,796381.0,96.5,NONE,76.6049499511719,8.59,47.7737732849219
"Iran, Islamic Rep.",NONE,0.72664999961853,60939.82,10210.0,164.5020873,12.0206,6599.35473971613,597959.0,79.6,88.9599990844727,60.6945381164551,0.02,0.814007923197325
Iraq,1.61329242648833,0.0406999997794628,13407.6,635.0,98.18424176,17.2313,43.6393011863656,1967.0,81.7,86.0,15.499340057373,NONE,NONE
Iceland,7.92722038204052,2.6003999710083,765.6,34.0,122.5171495,37.4246,85402.5305771719,33593.0,99.8,NONE,84.985237121582,0.19,53.9722930663779
Israel,61.7668959300845,6.01923990249634,15417.46,1592.0,152.2222464,29.8678,13047.4755550089,127299.0,87.0,92.0,57.6379203796387,13.45,37.2972748262903
Italy,6.44900435225648,1.39014005661011,90585.64,10281.0,132.971226,33.7932,30239.3103644089,1783922.0,87.0,99.0,73.8962097167969,1.99,9.9836968942283
Jamaica,2.41918200303175,0.0609599985182285,168.07,16.0,106.2021796,15.7852,190.859452085474,542.0,83.4,80.0,26.4131107330322,0.28,2.64698979146794
Jordan,0.345024195552696,0.695469975471497,5249.35,25.0,67.56799743,7.03749,182.967132441716,2093.0,92.5,95.0,33.0567016601562,0.68,2.08415985427159
Japan,5.66638440481905,3.40536999702454,103722.96,222452.0,167.5231573,38.5463,31701.7121806602,3947391.0,87.0,NONE,64.6288299560547,8.16,17.5547415163067
Kazakhstan,6.86862817368628,0.144720003008842,3550.75,803.0,130.4206754,17.6345,5814.13651400898,118202.0,92.9,99.8000030517578,56.5271034240723,1.85,34.4293373196596
Kenya,14.0472962016628,0.808740019798279,2007.14,160.0,121.6735548,2.38883,297.132205291086,16443.0,35.0,82.879997253418,10.5694704055786,0.29,3.04169416728318
Kyrgyz Republic,2.75665664879662,0.0587599985301495,236.83,83.0,130.3819712,6.44653,816.366773477939,5796.0,88.5,99.5999984741211,56.0175933837891,4.67,18.5729291851162
Cambodia,5.69796876284965,0.118230000138283,203.2,1.0,116.3256071,2.96383,223.199425156739,3889.0,60.7,83.7799987792969,17.9681453704834,2.53,13.0335115656446
Kiribati,2.92387890263218,NONE,2.03,NONE,48.82650573,0.332,22.6363842148947,3.0,88.0,97.9597091674805,NONE,0.19,2.29693114054698
St. Kitts and Nevis,0.724171754896227,NONE,38.87,NONE,119.1089358,46.7447,8233.88511056931,385.0,76.4,NONE,92.1944808959961,26.47,34.6026368990477
"Korea, Rep.",10.5881547818461,5.21081018447876,76935.71,186245.0,148.5880603,46.5676,9728.36049939764,503079.0,97.4,98.8000030517578,103.276039123535,27.66,30.0669349728022
Kuwait,45.7666174582708,0.0975999981164932,1334.56,1.0,180.9950542,1.01366,385.501357805424,1871.0,99.7,96.0,61.558048248291,0.15,1.78499675433497
Latin America & Caribbean (excluding high income),7.90604200531589,0.645626985473495,118162.06,NONE,109.629476654402,18.2919927549262,2996.72231904954,NONE,NONE,94.546272277832,56.1385383605957,7.77981960371094,12.7648871224036
Lao PDR,7.55797049542745,0.0370999984443188,83.93,1.0,64.95535792,2.4274,274.103316206551,2101.0,63.6,87.5199966430664,14.901439666748,2.98,7.28644637663924
Lebanon,1.77653813888075,NONE,2091.17,110.0,76.67627276,7.29167,676.020565020171,3903.0,83.5,93.0,60.1667213439941,0.96,4.30236078360336
Liberia,NONE,NONE,25.91,14.0,31.82876165,0.274673,9.28449156758809,51.0,23.5,48.3013610839844,11.2590703964233,NONE,0.643718596498284
Libya,32.1256038647343,NONE,407.95,12.0,204.6286291,4.51841,112.241756698472,820.0,88.5,76.5,61.6012802124023,0.0,0.604680774692483
St. Lucia,0.843906596374905,0.273739993572235,4.69,2.0,95.63211097,13.5719,702.791644588225,126.0,70.1,NONE,16.2592697143555,5.63,9.33224017462958
Latin America & Caribbean,7.54106915390119,0.618397412304161,130281.860852255,8385.0,111.7,18.4,3259.25504017551,NONE,NONE,94.7900085449219,58.2606315612793,7.06587458930481,12.2634962923034
Least developed countries: UN classification,5.94481969990782,NONE,23806.72,NONE,78.8894754176795,1.82603192073984,99.698949024924,NONE,NONE,67.7145690917969,11.2430295944214,0.47007427272546,7.44343642790427
Low income,6.16548517162808,NONE,12819.72,600.0,62.8,0.5,23.1863939969725,NONE,26.5,63.0385284423828,9.53738975524902,0.347971043703181,1.72804518665286
Liechtenstein,NONE,5.86833000183105,40.79,NONE,126.2796552,49.803,66173.1493099122,2637.0,97.3,NONE,46.0189590454102,NONE,NONE
Sri Lanka,16.9244189853004,0.105060003697872,2482.89,266.0,143.0794174,8.76545,482.370558605981,10630.0,51.2,92.0,22.9647026062012,0.19,1.41723845257758
Lower middle income,33.3603908362819,0.554684349125693,325269.68,42400.0,93.1,4.2,719.550058072678,NONE,54.0,77.6318206787109,27.1525707244873,12.7616413180175,15.8677949812174
Low & middle income,19.7399619431902,1.92754682725643,1613779.61,NONE,104.401559003568,14.5372793849357,1593.6881316515,NONE,NONE,85.1791534423828,38.3803215026855,16.0593284323853,20.861702015327
Lesotho,0.0884783442873781,0.0510100014507771,47.96,1.0,67.51784393,0.383738,89.1206988447189,206.0,48.0,82.0100021362305,9.7244701385498,0.54,0.0742607412455623
Late-demographic dividend,27.7512726703071,2.15654251792381,1242762.03206264,NONE,126.745828074436,34.579321506941,5294.58250896978,NONE,NONE,96.8044586181641,67.1248321533203,17.0323377628196,25.0051811285491
Lithuania,10.8078132906687,1.05318999290466,3132.62,81.0,139.1367809,28.231,96899.7957573953,278256.0,88.5,99.8300018310547,76.9154586791992,3.2,14.4028959953361
Luxembourg,4.27912266606401,0.976530015468597,1170.6,112.0,137.0751156,38.327,60480.4705670513,40306.0,98.8,NONE,21.032600402832,1.24,6.05174975821516
Latvia,16.9168334291474,0.763819992542267,1690.44,104.0,117.0957679,25.9925,26170.1408030595,49133.0,92.2,99.8899993896484,91.3303680419922,7.28,18.3733834188523
"Macao SAR, China",0.0431449638666704,0.263779997825623,NONE,2.0,174.5212668,29.6759,5760.16499705362,3910.0,89.2,97.1100006103516,129.15104675293,18.95,0.0
St. Martin (French part),NONE,NONE,NONE,NONE,NONE,NONE,1272.03343630747,35.0,NONE,NONE,NONE,NONE,NONE
Morocco,9.11743222959442,0.660359978675842,8445.14,254.0,137.4592738,6.4715,567.610133561799,21406.0,91.0,77.3499984741211,47.709358215332,2.36,5.43070567261144
Monaco,NONE,0.0382100008428097,57.07,5.0,106.8167485,55.8836,31805.113461341,1239.0,99.1,NONE,53.3591690063477,NONE,NONE
Moldova,25.789480153901,0.223419994115829,283.96,64.0,127.4162572,27.4209,11525.8344613825,28328.0,80.2,99.5999984741211,61.3014030456543,0.27,2.61708440538272
Madagascar,20.8887227889548,0.0127499997615814,156.66,6.0,70.18472487,0.107754,22.1823794204962,692.0,20.4,77.4800033569336,6.4074501991272,0.03,0.478060054077076
Maldives,0.979112138467307,NONE,35.87,NONE,136.5417622,18.7278,1237.6567033084,651.0,84.7,97.8600006103516,49.9534454345703,0.0,0.18950505737955
Middle East & North Africa,NONE,1.5158236260248,184112.02,17557.0,118.9,13.5,1639.66825695115,NONE,NONE,80.9491424560547,42.9855690002441,4.59575861649896,9.71811630270658
Mexico,2.92240599051662,0.268189996480942,21027.1,1117.0,100.2881985,20.5322,412.117306307005,53468.0,81.2,95.0,46.4061317443848,13.72,17.5686775936758
Marshall Islands,0.98326968921506,NONE,2.24,NONE,38.04994055,2.35048,154.531640353362,6.0,65.7,98.0,53.5061492919922,NONE,NONE
Middle income,19.8850535077329,1.93028210142059,1600959.89,NONE,108.260864694504,15.825640378637,1789.89575666451,NONE,NONE,87.2283935546875,42.6488990783691,16.0858308904772,21.029141056221
North Macedonia,20.9636612708518,0.395020008087158,532.17,42.0,97.83329942,28.0036,1857.95506768734,3396.0,87.2,97.5999984741211,53.1601181030273,0.63,6.3599119716616
Mali,38.1736778749972,0.173849999904633,118.09,1.0,114.4971206,0.77422,14.0518412813394,334.0,35.1,31.0,4.73440647125244,0.09,5.479696587969
Malta,1.65251542048844,0.604330003261566,593.57,5.0,131.5920538,44.2802,4823.18311994457,2666.0,92.1,94.9400024414062,78.6229400634766,25.7,43.2692793209479
Myanmar,2.24040290360038,0.023760000243783,163.39,NONE,106.6964737,2.7983,20.1722406397571,1092.0,58.5,89.0,20.3939208984375,0.17,2.94631414241606
Middle East & North Africa (excluding high income),6.73345939914461,0.571260420879059,129629.9,NONE,118.521791757699,11.1346487027093,1485.19196965068,NONE,NONE,78.259391784668,39.8434906005859,1.21047510084186,2.04087857414071
Montenegro,7.02119779784845,0.36327999830246,294.93,5.0,203.1681662,32.0155,2247.73076567285,1385.0,89.8,98.9800033569336,55.1743011474609,0.79,7.99520160312392
Mongolia,3.74124560934214,0.0836500003933907,262.05,109.0,142.2895592,14.5529,2354.68502461116,8197.0,83.0,99.0,65.3136138916016,0.01,30.8141690897359
