Country,R&D Expenditure,Patent Applications
Netherlands,34311.17,118.0652669
New Zealand,9213.62,114.6898687
Nicaragua,41.45,97.10898703
Niger,73.56,56.38600069
Nigeria,9408.02,101.6857635
North Macedonia,532.17,97.83329942
Norway,14068.95,110.6788541
Oman,1588.15,135.0769728
Pakistan,22642.68,81.74691267
Palau,6.45,132.927167
Panama,376.12,156.3065885
Papua New Guinea,83.33,48.42485057
Paraguay,208.68,127.7049687
Peru,4584.96,122.0264016
Philippines,3961.49,144.0428223
Poland,37368.15,131.9444373
Portugal,19622.76,124.5494123
Qatar,2649.64,174.1281471
Republic of the Congo,90.39,96.78757313
Romania,11669.69,118.1071502
Russia,84251.73,168.9847242
Rwanda,352.94,79.86005064
Saint Kitts and Nevis,38.87,119.1089358
Saint Lucia,4.69,95.63211097
Saint Vincent and the Grenadines,8.36,100.4617693
Samoa,16.2,60.40057199
Sao Tome and Principe,3.8,86.77896033
Saudi Arabia,25825.3,132.3800002
Senegal,450.9,120.4336409
Serbia,5379.47,123.7205974
Seychelles,20.24,191.50843
Sierra Leone,86.77,97.70150515
Singapore,12700.34,156.4790531
Slovakia,5390.39,131.9254542
Slovenia,4073.69,126.1838135
Solomon Islands,11.06,66.96324509
South Africa,16651.13,167.3958702
Spain,67099.71,124.0994495
Sri Lanka,2482.89,143.0794174
Sudan,507.12,73.96660858
Suriname,13.33,150.2880072
Sweden,22353.75,125.0711442
Switzerland,24247.97,119.5610489
Syria,584.3,79.67746006
Tajikistan,110.17,118.8094765
Tanzania,1171.41,91.89984822
Thailand,18490.53,176.3169269
Timor-Leste,13.94,110.4161199
Togo,134.74,74.18189659
Tonga,4.63,60.67706123
Trinidad and Tobago,261.85,130.5663978
Tunisia,5730.03,129.2577838
Turkmenistan,21.92,98.62541796
Uganda,1244.0,69.986293
Ukraine,13205.56,135.025689
United Arab Emirates,6401.84,212.2208173
United Kingdom,105583.93,120.8191165
United States of America,457335.25,110.1664718
Uruguay,1057.66,138.526391
Uzbekistan,2187.4,103.0681174
Vanuatu,14.7,78.19948583
Venezuela,512.19,63.41889546
Viet Nam,10530.19,139.9496874
Yemen,415.15,46.0195416
Zambia,344.27,99.10241824
Zimbabwe,563.05,87.62450647
