Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2024,"Burundi ",183,0.24805,0.21920,0.31460,0.39655,0.03305
2024,"Cambodia ",120,0.57536,0.31510,0.45034,0.51489,0.76094
2024,"Cameroon ",155,0.42935,0.42470,0.39885,0.51925,0.37004
2024,"Canada ",47,0.84516,0.91780,0.85516,0.87249,0.80782
2024,"Cabo Verde ",111,0.62378,0.54790,0.68917,0.56935,0.61278
2024,"Central African Republic ",193,0.09470,0.08220,0.11280,0.17130,0.00000
2024,"Colombia ",68,0.77930,0.73970,0.75210,0.77931,0.80654
2024,"Comoros ",180,0.25862,0.00000,0.02299,0.39916,0.35368
2024,"Congo ",166,0.33912,0.08220,0.27604,0.46375,0.27758
2024,"Costa Rica ",61,0.80089,0.72600,0.72169,0.78766,0.89327
2024,"Côte d'Ivoire ",124,0.55868,0.41100,0.52194,0.48484,0.66926
2024,"Croatia ",32,0.88175,0.91780,0.87347,0.85376,0.91799
2024,"Cuba ",139,0.49214,0.05480,0.22982,0.71481,0.53183
2024,"Cyprus ",38,0.86187,0.69860,0.82165,0.86980,0.89406
2024,"Czech Republic ",54,0.82394,0.58900,0.70063,0.85082,0.92043
2024,"Democratic People's Republic of Korea ",184,0.23201,0.00000,0.02908,0.49244,0.17452
2024,"Democratic Republic of the Congo ",179,0.27149,0.24660,0.20671,0.44867,0.15906
2024,"Denmark ",1,0.98474,0.98630,0.99924,0.95841,0.99662
2024,"Ethiopia ",169,0.31109,0.16440,0.34195,0.32537,0.26592
2024,"Fiji ",93,0.67544,0.39730,0.53431,0.74131,0.75067
2024,"Finland ",9,0.95746,0.89040,0.90973,0.98359,0.97909
2024,"Guinea-Bissau ",170,0.30831,0.21920,0.12703,0.30774,0.49023
2024,"Guyana ",128,0.54432,0.21920,0.34549,0.59327,0.69418
2024,"Spain ",17,0.92060,0.80820,0.90542,0.89610,0.96031
2024,"Sierra Leone ",172,0.30422,0.32880,0.38228,0.27185,0.25851
2024,France,34,0.87442,0.80820,0.84400,0.85645,0.92281
2024,"Gabon ",121,0.57408,0.12330,0.31875,0.57723,0.82630
2024,"Gambia ",181,0.25517,0.17810,0.09551,0.28231,0.38766
2024,Georgia (Country),69,0.77923,0.56160,0.56522,0.86539,0.90713
2024,"Germany ",12,0.93821,0.97260,0.92384,0.96724,0.92359
2024,"Ghana ",108,0.63169,0.53420,0.60837,0.55857,0.72814
2024,"Greece ",36,0.86737,0.67120,0.81453,0.92190,0.86568
2024,"Grenada ",104,0.64577,0.24660,0.50555,0.75501,0.67674
2024,"Guatemala ",122,0.57383,0.46580,0.65379,0.48340,0.58427
2024,"Guinea ",160,0.40059,0.50680,0.48081,0.28868,0.43230
2024,"Haiti ",186,0.21165,0.09590,0.13785,0.28834,0.20874
2024,"Honduras ",142,0.48559,0.30140,0.45874,0.51818,0.47992
2024,"Hungary ",59,0.80430,0.54790,0.71437,0.87030,0.82821
2024,"Iceland ",5,0.96707,0.95890,0.90755,0.99531,0.99829
2024,"India ",97,0.66776,0.65750,0.81842,0.61487,0.57004
2024,"Indonesia ",64,0.79911,0.79450,0.80346,0.72934,0.86448
2024,"Iran (Islamic Republic of) ",101,0.65639,0.17810,0.37729,0.69316,0.89869
2024,"Slovenia ",33,0.87589,0.78080,0.86396,0.85298,0.91072
2024,"Solomon Islands ",164,0.36811,0.36990,0.49696,0.42624,0.18109
2024,"Somalia ",191,0.14677,0.28770,0.29710,0.00000,0.14324
2024,"South Africa ",40,0.86162,0.83560,0.88721,0.80257,0.89512
2024,"Sri Lanka ",98,0.66668,0.41100,0.54937,0.65704,0.79359
2024,"Sudan ",178,0.27594,0.06850,0.12930,0.25932,0.43922
2024,"Suriname ",106,0.63655,0.28770,0.48137,0.55684,0.87141
2024,Eswatini,113,0.60812,0.38360,0.45574,0.58357,0.78511
2024,"Uzbekistan ",63,0.79990,0.69860,0.76484,0.75801,0.87687
2024,"Vanuatu ",129,0.54271,0.46580,0.47692,0.53474,0.61652
2024,"Venezuela ",131,0.53603,0.21920,0.35756,0.71149,0.53905
2024,"Viet Nam ",71,0.77092,0.60270,0.70811,0.72665,0.87797
2024,"Sweden ",14,0.93262,0.79450,0.88361,0.92745,0.98679
2024,"Switzerland ",26,0.90035,0.82190,0.84080,0.90264,0.95757
2024,"Syrian Arab Republic ",162,0.38876,0.06850,0.30678,0.41689,0.44256
2024,"Tajikistan ",123,0.56055,0.27400,0.44760,0.65305,0.58098
2024,"Thailand ",52,0.83510,0.75340,0.76105,0.80320,0.94101
2024,North Macedonia,84,0.70704,0.57530,0.66415,0.70233,0.75459
2024,Timor-Leste,159,0.40202,0.32880,0.34056,0.51036,0.35506
2024,"Togo ",161,0.39198,0.45210,0.44721,0.48134,0.24736
2024,"Tonga ",134,0.51639,0.32880,0.32204,0.74877,0.47841
2024,"Trinidad and Tobago ",86,0.69726,0.32880,0.59989,0.71739,0.77454
2024,"Tunisia ",87,0.69348,0.45210,0.59507,0.64965,0.83566
2024,Türkiye,27,0.89131,0.86300,0.92253,0.91923,0.83221
2024,"Turkmenistan ",145,0.47569,0.04110,0.25064,0.66137,0.51512
2024,"Tuvalu ",158,0.40425,0.06850,0.19438,0.54634,0.47197
2024,"Uganda ",150,0.44636,0.43840,0.60691,0.50229,0.22990
2024,Ukraine,30,0.88407,1.00000,0.98536,0.82402,0.84278
2024,"United Arab Emirates ",11,0.95328,0.78080,0.91627,0.94355,1.00000
2024,United Kingdom of Great Britain and Northern Ireland,7,0.95773,0.97260,0.95349,0.94498,0.97467
2024,"United Republic of Tanzania ",153,0.43272,0.28770,0.47910,0.43987,0.37921
2024,"United States of America ",19,0.91945,0.94520,0.91358,0.88424,0.96052
2024,"Uruguay ",25,0.90059,0.86300,0.88321,0.87488,0.94374
2024,"Yemen ",185,0.23175,0.15070,0.13774,0.26704,0.29045
2024,"Zambia ",130,0.54237,0.41100,0.49584,0.62252,0.50880
2024,"Zimbabwe ",149,0.44807,0.27400,0.41003,0.53950,0.39471
2024,South Sudan,192,0.11907,0.10960,0.15041,0.15212,0.05473
2024,"Rwanda ",118,0.57993,0.75340,0.82065,0.54668,0.37235
2024,"Saint Kitts and Nevis ",110,0.63054,0.20550,0.30385,0.72021,0.86745
2024,"Saint Lucia ",133,0.52547,0.13700,0.32292,0.60372,0.64980
2024,"Saint Vincent and the Grenadines ",117,0.58762,0.34250,0.39063,0.69557,0.67675
2024,"Samoa ",140,0.48990,0.30140,0.36378,0.64531,0.46065
2024,"San Marino ",102,0.65509,0.12330,0.35754,0.65866,0.94912
2024,"Sao Tome and Principe ",154,0.43078,0.16440,0.21557,0.59285,0.48394
2024,"Saudi Arabia ",6,0.96022,0.95890,0.98995,0.90666,0.98411
2024,"Senegal ",135,0.51625,0.42470,0.47789,0.33804,0.73285
2024,Serbia,39,0.86184,0.89040,0.85397,0.80941,0.92206
2024,"Seychelles ",92,0.67733,0.30140,0.46380,0.67688,0.89126
2024,"Singapore ",3,0.96912,0.95890,0.98306,0.93615,0.98806
2024,"Slovakia ",60,0.80214,0.69860,0.70969,0.79823,0.89851
